rainfall_24h_mm,rainfall_72h_mm,soil_moisture_pct,slope_angle_deg,vulnerability_index,pore_water_pressure_kpa,elevation_m,vegetation_ndvi,landslide_probability_true,landslide_occurred
37.11,131.48,40.23,38.73,47.14,2.54,229.5,0.478,0.6855,1
42.47,132.38,37.84,41.61,55.48,2.5,972.1,0.458,0.7209,1
23.17,54.78,32.69,46.24,56.72,1.41,2646.3,0.347,0.5511,1
128.55,302.01,49.72,30.4,79.35,8.07,2574.2,0.214,0.9652,1
190.36,546.24,85.12,39.08,45.98,24.25,740.1,0.564,0.9968,1
50.81,166.71,49.06,36.73,68.35,4.15,3443.9,0.509,0.8092,1
250.89,540.67,69.95,29.35,90.54,40.53,2432.4,0.271,0.9992,1
40.13,92.64,26.73,35.98,69.77,1.81,1425.5,0.42,0.6644,1
18.4,93.75,39.34,25.75,54.7,1.09,1357.9,0.473,0.5138,1
39.79,104.03,37.22,22.77,41.09,3.28,1924.9,0.664,0.4687,0
46.59,110.04,52.78,28.91,80.22,5.97,319.2,0.366,0.8233,1
43.79,136.72,36.39,55.76,69.36,3.52,2558.0,0.228,0.8064,1
177.63,488.23,73.2,40.19,28.44,17.73,425.7,0.415,0.9904,1
22.82,118.57,51.8,55.99,16.87,1.91,2354.9,0.471,0.5026,1
68.03,225.28,45.66,37.51,72.57,6.16,2845.8,0.367,0.9109,1
39.94,119.22,45.83,34.56,61.73,2.66,3187.4,0.582,0.588,1
113.41,298.71,59.5,39.16,77.65,13.68,687.2,0.207,0.9736,1
91.35,282.85,62.1,37.67,31.88,8.55,2660.0,0.424,0.8948,1
205.86,505.32,64.41,27.64,96.48,25.26,3444.9,0.243,0.9983,1
33.88,76.4,29.05,42.52,58.87,2.09,423.8,0.265,0.6331,1
122.6,294.5,58.76,31.79,68.91,16.01,293.1,0.327,0.959,1
25.95,101.85,30.73,41.96,81.93,1.79,901.0,0.389,0.7482,1
37.35,88.98,41.92,42.78,83.35,3.46,876.6,0.083,0.8505,1
39.98,116.34,43.71,29.57,52.91,2.41,1254.3,0.468,0.5065,1
120.2,254.84,49.55,25.35,76.76,14.81,3247.7,0.545,0.9382,1
19.45,59.65,38.48,46.78,54.68,1.65,2454.1,0.376,0.6273,1
99.49,283.59,50.31,38.12,37.42,6.68,235.4,0.429,0.9155,1
91.63,262.23,41.89,25.15,77.2,8.09,1834.7,0.395,0.9059,1
237.28,468.75,69.53,59.67,52.14,29.88,3089.9,0.3,0.9991,1
137.73,329.94,53.02,25.13,46.57,12.83,1963.4,0.576,0.9427,1
52.08,146.13,40.0,44.05,45.53,4.33,840.9,0.387,0.7971,1
42.07,139.54,36.66,57.85,70.08,2.19,3348.1,0.215,0.8419,1
80.16,285.03,47.57,32.51,56.55,9.53,1214.2,0.401,0.9255,1
94.03,196.13,50.75,29.19,60.55,9.1,1355.3,0.653,0.8461,1
156.28,298.68,57.84,28.34,46.64,17.83,1375.8,0.522,0.9711,1
71.15,220.07,42.1,34.34,33.78,5.25,1502.6,0.658,0.7108,1
34.99,96.25,41.08,27.43,77.53,2.86,2538.9,0.553,0.6544,1
117.49,273.0,51.91,43.97,62.18,12.58,1238.0,0.384,0.9583,1
94.24,215.07,53.31,25.4,74.24,8.28,1734.6,0.45,0.902,1
6.67,27.75,39.93,39.24,73.19,0.48,1069.5,0.362,0.5822,1
25.76,87.08,32.66,60.13,91.85,1.29,1876.1,0.269,0.7502,1
57.22,190.7,40.23,47.98,56.55,5.07,3326.3,0.42,0.8797,1
25.06,91.58,41.98,41.84,37.96,2.27,1155.7,0.507,0.4442,0
70.76,256.33,65.64,34.42,62.29,10.47,2894.2,0.413,0.9414,1
102.39,187.92,44.47,42.07,18.82,9.62,922.6,0.366,0.8575,1
198.87,394.87,51.65,39.65,68.09,12.59,677.5,0.321,0.9941,1
35.3,107.98,51.43,37.36,76.98,2.63,500.7,0.344,0.7588,1
37.12,130.11,40.43,28.72,39.99,2.56,3433.5,0.57,0.5145,1
18.85,62.02,33.4,51.06,85.12,0.95,2082.4,0.33,0.7765,1
37.02,82.7,39.97,37.89,27.26,2.8,1897.1,0.356,0.4412,0
87.9,184.5,39.8,31.09,66.04,8.28,223.8,0.389,0.8365,1
79.55,238.93,55.18,35.99,61.17,9.48,1798.2,0.488,0.8586,1
83.78,225.0,53.15,37.09,94.22,6.89,2387.0,0.273,0.9628,1
231.59,665.82,91.43,48.5,54.47,36.35,1552.8,0.403,0.9995,1
72.47,225.18,44.08,45.23,33.07,4.05,625.4,0.448,0.853,1
18.88,49.88,33.61,46.39,84.93,0.77,1083.4,0.183,0.776,1
11.52,52.28,35.1,21.12,74.47,0.71,2556.6,0.437,0.5376,1
18.32,105.33,50.46,37.14,84.21,1.98,1768.6,0.196,0.7781,1
26.87,122.98,28.75,38.6,71.28,1.79,1781.7,0.474,0.5965,1
42.52,131.75,44.38,22.11,50.7,3.32,326.7,0.502,0.6017,1
77.87,140.85,51.74,33.12,35.52,5.78,1946.8,0.548,0.7153,1
45.36,171.73,47.82,46.09,57.64,3.34,1601.6,0.238,0.873,1
15.99,50.84,41.91,28.98,35.39,1.19,3102.8,0.5,0.3791,0
30.3,80.96,43.02,39.85,82.86,2.66,1456.8,0.275,0.8132,1
32.04,110.02,44.84,31.76,94.5,2.74,2210.5,0.295,0.8472,1
37.98,88.88,45.85,21.27,83.52,3.99,3288.4,0.361,0.6219,1
28.99,84.29,26.72,32.57,69.05,0.95,2068.5,0.47,0.4529,0
42.43,96.82,32.4,56.95,68.72,3.42,298.3,0.29,0.7454,1
117.95,397.93,57.71,47.52,66.17,16.39,535.2,0.35,0.9815,1
251.34,557.72,77.85,55.47,60.62,27.29,3390.6,0.319,0.9993,1
54.13,155.99,30.13,38.74,33.9,2.06,2021.9,0.615,0.5356,1
42.98,106.43,45.83,27.83,47.42,3.94,824.7,0.365,0.6679,1
234.24,443.55,58.6,40.15,71.27,29.35,2073.6,0.369,0.998,1
33.25,75.36,38.69,38.0,21.24,2.34,3359.4,0.574,0.4135,0
19.81,62.9,26.76,49.18,62.11,0.83,347.9,0.39,0.6277,1
59.0,129.37,31.6,27.29,25.54,3.79,1939.4,0.39,0.591,1
76.49,191.2,43.93,38.75,93.52,6.81,649.3,0.218,0.9283,1
64.54,148.11,55.99,29.49,58.58,5.03,1674.3,0.466,0.8162,1
8.97,29.77,31.04,34.9,88.65,0.62,2360.1,0.384,0.4765,0
145.42,503.18,57.1,45.35,81.29,18.06,1715.2,0.106,0.9961,1
7.44,32.02,49.69,38.48,62.06,0.48,3377.3,0.353,0.6181,1
87.94,233.89,51.09,36.19,47.53,8.09,2129.2,0.525,0.8392,1
127.09,319.9,58.86,36.63,49.46,12.8,3379.9,0.528,0.9438,1
4.31,65.01,47.04,38.11,52.61,0.37,1237.5,0.494,0.4619,0
29.66,96.95,47.96,46.93,77.27,2.56,269.7,0.329,0.7987,1
80.46,191.35,51.61,51.32,65.29,7.81,710.1,0.388,0.9183,1
166.3,328.13,51.76,55.13,93.75,13.43,436.2,0.287,0.9943,1
24.94,110.38,45.75,47.0,69.27,2.07,2638.6,0.418,0.806,1
50.38,146.5,55.16,34.66,16.16,3.69,826.5,0.698,0.5561,1
66.94,202.73,54.7,43.85,18.38,5.24,2698.3,0.528,0.8005,1
71.96,237.72,50.74,37.62,52.79,4.8,1974.0,0.54,0.8535,1
37.32,118.86,33.66,32.97,35.41,1.81,915.4,0.502,0.4771,0
20.53,71.81,50.09,49.04,51.27,1.24,2224.4,0.378,0.7205,1
44.5,121.13,29.67,23.82,65.1,1.65,237.8,0.599,0.5476,1
44.58,155.91,32.76,51.81,57.09,3.26,1304.6,0.529,0.6964,1
152.1,341.51,41.8,38.15,76.22,9.28,2789.4,0.373,0.9835,1
118.13,351.62,54.61,42.43,56.21,12.1,2672.4,0.453,0.9746,1
73.19,147.07,48.73,43.03,53.98,6.0,2809.3,0.25,0.8782,1
35.16,120.41,31.27,51.48,61.19,1.79,2138.9,0.315,0.758,1
10.25,32.18,34.32,42.41,69.74,0.81,2091.9,0.406,0.5516,1
36.88,113.21,29.7,41.81,43.52,2.01,1544.3,0.436,0.5685,1
36.64,106.57,39.75,25.66,56.45,2.73,3330.2,0.488,0.6441,1
145.45,394.84,65.56,39.45,39.62,17.13,3333.3,0.483,0.9757,1
28.87,132.34,48.39,29.5,74.28,2.16,228.7,0.476,0.6276,1
11.03,43.35,42.75,45.35,75.13,0.98,3375.3,0.197,0.7447,1
115.33,320.19,55.72,39.3,76.97,8.11,3072.8,0.482,0.9673,1
39.72,153.48,28.54,43.62,44.36,1.78,2199.8,0.512,0.6854,1
32.73,66.81,39.25,24.06,32.7,2.65,1271.0,0.591,0.368,0
8.63,37.44,40.53,26.64,43.7,0.43,1588.5,0.521,0.3652,0
16.74,43.9,22.91,44.69,68.2,0.47,2999.1,0.252,0.5606,1
10.41,101.67,38.91,25.96,60.14,0.68,687.3,0.475,0.5691,1
12.22,39.12,26.57,25.92,43.02,0.5,2248.7,0.412,0.2641,0
13.67,50.43,33.61,21.26,30.15,0.97,961.9,0.713,0.1539,0
128.2,378.91,61.68,55.22,69.06,17.26,1448.0,0.362,0.9875,1
144.52,389.7,48.67,45.35,66.06,8.77,216.5,0.384,0.9822,1
159.95,546.09,63.03,35.63,66.34,17.82,3399.0,0.302,0.9964,1
34.49,92.04,23.77,34.15,96.3,1.99,558.4,0.204,0.7485,1
26.22,102.28,28.96,35.54,46.14,1.22,2719.5,0.38,0.5135,1
44.53,129.08,27.75,46.57,50.44,1.8,2053.3,0.383,0.7047,1
42.62,90.81,45.22,43.09,79.9,3.62,2932.5,0.431,0.7323,1
29.72,80.45,32.6,30.77,57.71,1.73,1901.7,0.512,0.6326,1
47.06,244.3,53.94,30.38,44.59,3.77,3448.5,0.545,0.748,1
39.21,108.18,52.0,27.31,46.25,3.05,2203.2,0.49,0.6334,1
30.68,76.31,45.53,43.06,32.19,2.92,2234.1,0.466,0.5694,1
20.05,88.19,25.83,46.23,60.53,0.84,3238.6,0.411,0.5145,1
11.27,71.38,49.98,33.27,62.93,1.4,1051.5,0.426,0.5852,1
30.87,84.06,37.15,22.29,70.71,1.81,1397.5,0.469,0.5325,1
20.17,56.15,24.8,26.5,64.53,0.96,2394.4,0.34,0.5039,1
22.53,86.68,41.6,56.17,88.58,1.21,665.7,0.364,0.8534,1
124.94,361.87,62.84,34.12,40.9,14.92,2871.7,0.39,0.9738,1
18.44,57.32,36.16,46.39,51.28,1.2,2153.2,0.416,0.5966,1
8.45,30.05,41.86,42.09,63.03,0.59,2691.3,0.377,0.5225,1
37.49,78.23,23.75,36.33,66.99,1.57,3467.9,0.451,0.5718,1
159.52,367.0,56.29,31.45,92.22,12.86,3423.7,0.392,0.9908,1
52.01,120.04,55.49,28.34,56.51,6.54,1677.2,0.573,0.6641,1
13.04,45.43,41.63,41.84,76.74,1.3,1127.6,0.283,0.6771,1
175.3,546.75,70.97,46.57,48.66,28.48,2293.2,0.497,0.9967,1
19.7,135.86,39.82,42.61,69.85,1.76,2547.4,0.36,0.672,1
81.97,173.85,35.4,39.73,67.04,5.55,1172.6,0.431,0.8513,1
8.26,33.19,44.18,24.08,88.68,0.6,1128.5,0.473,0.5632,1
59.81,144.59,40.02,56.23,72.61,3.41,909.4,0.311,0.8705,1
74.04,231.98,59.58,47.42,57.84,9.99,3201.1,0.249,0.9556,1
6.75,20.2,47.32,34.05,66.04,0.4,535.4,0.431,0.4487,0
14.58,40.35,51.09,57.4,64.91,1.07,1013.1,0.364,0.77,1
83.79,266.56,43.51,41.5,48.36,6.28,2260.5,0.442,0.9273,1
60.81,160.03,52.35,41.0,47.8,4.63,1743.0,0.537,0.8248,1
39.64,123.68,34.91,45.69,62.23,2.71,598.3,0.386,0.7981,1
22.33,59.62,35.1,47.9,64.89,1.68,1155.4,0.436,0.6021,1
30.74,95.78,27.62,42.95,73.73,2.02,1546.8,0.332,0.6432,1
22.04,52.86,40.36,28.62,26.17,1.31,3363.7,0.664,0.3117,0
16.1,45.57,38.09,35.25,50.55,0.96,1506.0,0.42,0.4357,0
40.88,101.27,48.39,53.29,57.26,4.22,582.2,0.356,0.7799,1
6.64,22.64,46.92,32.06,75.6,0.46,3408.8,0.3,0.525,1
83.47,269.17,57.62,36.1,67.89,8.17,1632.3,0.378,0.926,1
45.06,202.42,40.14,37.5,51.07,3.94,661.0,0.461,0.7985,1
28.39,106.76,44.76,37.66,58.23,2.15,2216.5,0.294,0.6651,1
55.41,151.62,54.04,41.78,66.26,4.16,2868.2,0.483,0.8394,1
91.64,274.92,54.88,54.25,45.09,7.8,2544.7,0.394,0.929,1
200.98,533.51,87.81,32.55,41.16,23.03,1228.1,0.555,0.9955,1
94.64,326.38,42.05,28.34,69.84,8.26,988.6,0.422,0.8919,1
58.38,176.83,52.05,31.18,77.64,3.83,3113.5,0.345,0.8255,1
281.02,750.0,76.04,51.07,57.17,41.59,839.8,0.193,0.9999,1
125.11,231.89,46.82,42.66,82.87,14.26,2697.4,0.366,0.9584,1
78.62,247.63,63.67,33.86,54.41,11.6,275.9,0.544,0.9,1
39.94,139.17,34.95,48.06,78.04,1.81,1584.6,0.305,0.8258,1
164.93,469.16,75.97,49.9,31.69,26.67,3450.3,0.343,0.9952,1
88.08,275.36,48.66,49.27,73.71,8.99,2291.8,0.397,0.937,1
76.73,222.0,54.71,52.75,55.71,6.67,1225.2,0.446,0.9142,1
31.32,105.58,41.38,32.9,52.53,1.74,2509.2,0.485,0.5523,1
22.1,58.57,30.83,45.92,31.97,1.57,1366.0,0.514,0.546,1
47.93,130.01,54.78,38.13,44.73,5.04,3298.2,0.576,0.7944,1
7.77,17.63,23.35,49.08,43.5,0.38,975.3,0.461,0.4639,0
175.31,575.66,81.0,45.07,67.43,25.49,1255.9,0.415,0.9985,1
87.24,296.63,66.5,46.64,61.82,8.64,2472.9,0.489,0.9509,1
27.15,168.3,32.09,42.94,79.28,1.34,2824.5,0.353,0.7904,1
65.36,171.94,43.76,30.5,59.71,5.42,2102.4,0.361,0.7941,1
30.38,79.98,35.07,40.08,79.72,1.6,1154.6,0.552,0.6887,1
14.53,82.93,29.95,57.98,43.05,0.75,2091.2,0.469,0.5178,1
19.02,79.32,31.3,53.87,99.53,0.77,923.2,0.292,0.766,1
31.47,104.63,56.55,24.16,41.85,4.44,389.5,0.507,0.515,1
12.57,39.91,36.66,30.04,84.01,0.92,3234.9,0.387,0.5475,1
102.79,312.35,46.43,28.77,83.44,6.63,1787.8,0.266,0.9452,1
21.1,57.94,47.72,44.99,76.07,1.38,1784.8,0.293,0.8102,1
75.41,224.75,47.5,48.13,33.02,6.55,2657.8,0.425,0.8808,1
154.81,290.61,57.44,31.71,42.94,10.96,2048.1,0.464,0.9604,1
38.68,99.08,44.98,39.16,89.0,3.02,1699.1,0.19,0.8309,1
59.61,172.2,50.94,49.03,58.53,7.37,2822.2,0.252,0.8884,1
58.87,171.25,43.99,45.2,58.72,5.88,1767.6,0.432,0.8695,1
57.81,135.12,46.05,40.01,82.65,6.41,3212.0,0.354,0.8896,1
92.5,243.41,62.24,41.2,19.77,7.74,1210.6,0.628,0.8798,1
90.38,176.73,33.33,39.21,68.56,5.07,310.9,0.306,0.8914,1
16.18,51.61,31.68,34.18,79.83,0.99,692.3,0.4,0.6663,1
39.68,82.79,48.62,40.57,54.6,4.12,2903.3,0.41,0.6474,1
151.45,325.83,52.62,43.87,44.49,13.63,3256.5,0.435,0.9571,1
128.84,278.13,36.97,50.43,51.28,7.69,447.8,0.32,0.9504,1
89.68,230.47,29.8,42.4,51.31,4.27,3198.7,0.271,0.8657,1
76.11,152.64,38.94,46.12,75.73,6.6,3314.1,0.327,0.8934,1
43.1,112.86,40.86,29.87,68.41,2.99,2689.3,0.352,0.7392,1
3.8,27.72,26.45,38.15,9.49,0.12,2711.6,0.507,0.1764,0
84.76,274.98,47.5,20.87,54.48,8.86,205.1,0.484,0.8907,1
39.22,117.68,43.56,32.73,40.72,2.41,934.9,0.55,0.5551,1
17.86,53.44,47.81,45.0,74.93,1.72,908.3,0.193,0.8222,1
53.09,133.64,35.22,59.06,55.1,2.31,2118.9,0.308,0.801,1
65.54,190.91,45.75,27.34,62.29,5.11,2367.9,0.333,0.8681,1
34.42,104.3,48.44,36.8,53.29,2.99,3175.5,0.511,0.5729,1
29.51,132.28,49.41,47.47,77.41,3.59,1810.4,0.43,0.8185,1
22.64,79.41,47.33,31.4,46.26,1.41,1853.4,0.55,0.5023,1
48.06,195.7,57.96,40.32,62.47,6.06,379.1,0.475,0.7885,1
45.56,137.81,48.52,45.21,82.29,5.42,3491.5,0.516,0.8306,1
99.34,324.82,56.25,41.86,70.67,8.72,3320.5,0.183,0.9788,1
51.15,178.04,60.52,30.86,47.53,4.62,437.5,0.505,0.7513,1
42.28,125.9,43.57,35.68,62.19,4.49,2040.4,0.405,0.8171,1
35.93,68.5,42.22,46.89,56.79,2.79,1347.8,0.41,0.6357,1
38.51,125.27,47.64,40.3,69.43,4.16,1613.5,0.324,0.8326,1
56.36,171.29,47.28,20.15,97.68,5.95,2350.5,0.396,0.8528,1
132.66,378.84,63.51,46.11,40.97,13.68,1585.1,0.485,0.9692,1
29.42,69.43,31.81,23.57,30.43,1.35,1835.4,0.622,0.3327,0
25.85,96.12,36.73,45.61,49.51,2.01,1101.1,0.286,0.6711,1
93.3,284.31,50.53,31.35,51.13,8.73,471.8,0.544,0.9074,1
117.5,332.77,59.58,55.35,61.38,12.86,2692.0,0.268,0.9835,1
218.48,435.04,69.47,35.99,82.19,28.99,1448.7,0.307,0.9983,1
37.42,103.78,43.59,34.96,77.63,2.01,3125.8,0.321,0.8149,1
71.98,181.9,57.43,29.45,19.67,4.99,3318.4,0.636,0.6004,1
64.21,127.87,36.42,34.4,44.0,3.76,491.5,0.359,0.6632,1
217.73,558.08,85.61,50.59,16.89,30.21,2458.4,0.59,0.9966,1
180.08,361.29,48.76,60.03,85.93,18.74,2906.4,0.39,0.9934,1
82.28,198.58,48.27,36.0,36.81,6.45,2335.2,0.488,0.7532,1
306.52,687.85,77.66,37.87,74.89,39.69,1284.7,0.268,0.9999,1
78.41,264.46,42.98,44.87,87.53,6.45,1138.9,0.147,0.9548,1
68.57,139.16,36.92,51.04,39.62,4.99,1725.4,0.401,0.8136,1
30.94,81.63,43.58,41.27,51.86,2.2,1054.6,0.381,0.7149,1
11.87,25.85,29.42,36.56,48.95,0.67,3155.9,0.52,0.3809,0
9.18,36.38,45.58,37.06,84.23,0.84,361.8,0.42,0.6876,1
26.36,54.97,45.35,44.07,30.16,1.84,571.8,0.369,0.5309,1
53.59,196.93,49.21,19.68,83.45,3.97,2201.5,0.406,0.8597,1
192.56,456.93,68.34,41.96,53.24,31.02,2372.5,0.348,0.9975,1
8.09,38.89,22.85,35.69,65.14,0.38,2628.9,0.425,0.4045,0
24.31,90.16,39.88,47.26,93.2,1.56,1109.4,0.055,0.8742,1
66.89,204.28,54.75,27.05,65.4,7.02,1171.6,0.329,0.8761,1
4.72,34.64,29.09,41.15,44.72,0.29,1565.1,0.404,0.3884,0
78.66,188.16,50.09,38.59,64.52,4.84,973.8,0.443,0.8377,1
63.97,203.45,48.68,42.57,51.32,7.46,1444.8,0.362,0.8686,1
17.45,80.08,36.89,25.55,55.79,1.37,2499.8,0.565,0.438,0
126.34,405.12,63.71,40.94,78.99,13.76,1845.4,0.238,0.9888,1
52.01,142.92,43.54,40.48,72.87,5.46,3389.8,0.341,0.8128,1
109.29,283.02,46.13,40.46,70.65,6.42,2112.7,0.302,0.9759,1
80.85,172.85,39.72,41.54,33.24,7.0,1284.4,0.571,0.729,1
143.64,383.1,68.96,43.52,89.35,18.66,800.0,0.405,0.9941,1
75.44,171.59,30.35,47.65,61.99,4.73,925.6,0.424,0.8524,1
36.46,71.83,39.91,33.41,75.25,2.64,253.0,0.492,0.7039,1
235.0,601.26,79.75,48.41,39.39,26.08,1659.1,0.416,0.9977,1
4.75,55.09,47.29,38.98,91.64,0.35,3368.0,0.227,0.806,1
9.01,71.05,36.7,26.23,59.68,0.6,2765.1,0.434,0.4142,0
20.47,60.51,27.72,25.18,82.78,1.36,1192.3,0.304,0.5273,1
29.54,96.1,48.0,35.15,62.32,1.83,2836.0,0.446,0.7471,1
37.47,152.05,35.25,46.93,32.72,1.77,3274.8,0.419,0.6732,1
51.98,160.54,37.62,44.43,75.0,2.74,2419.9,0.248,0.8629,1
127.95,277.75,45.71,47.06,32.54,11.82,1889.0,0.459,0.9185,1
238.5,635.11,73.55,39.42,65.96,29.4,648.4,0.219,0.9993,1
32.54,100.9,25.52,37.68,81.44,1.16,462.9,0.36,0.7511,1
380.0,730.14,97.03,29.39,29.22,50.09,922.4,0.42,0.9999,1
38.36,127.8,32.34,34.99,45.71,2.58,2389.0,0.473,0.4842,0
25.34,100.13,50.35,37.54,91.12,2.3,710.6,0.326,0.8424,1
99.89,342.91,52.1,26.83,55.02,12.15,1959.4,0.395,0.9357,1
44.31,109.14,48.71,31.93,79.62,3.72,1640.8,0.346,0.833,1
43.76,133.55,49.42,41.4,79.33,4.44,2274.2,0.338,0.8417,1
10.11,49.87,24.1,45.29,90.74,0.54,371.9,0.185,0.715,1
190.53,348.88,65.36,60.68,65.21,30.38,3434.7,0.327,0.997,1
201.48,617.57,74.74,53.6,69.47,35.09,2476.7,0.433,0.9991,1
9.86,31.18,41.29,42.57,40.49,0.9,2581.7,0.448,0.409,0
102.41,275.69,64.89,37.25,83.61,11.54,253.6,0.417,0.9569,1
34.81,95.73,33.61,42.4,80.16,2.9,462.2,0.342,0.7708,1
19.89,67.29,34.86,46.96,58.38,1.07,2469.8,0.351,0.6063,1
19.16,55.44,33.69,28.2,81.86,1.33,561.8,0.388,0.6213,1
7.97,25.13,33.12,36.99,85.13,0.36,3154.7,0.313,0.5881,1
76.99,241.78,44.33,48.99,64.44,6.78,2250.8,0.362,0.932,1
77.9,250.51,43.65,36.38,68.8,7.13,434.5,0.409,0.916,1
23.33,68.58,42.93,40.74,54.94,1.32,2225.0,0.5,0.5395,1
380.0,750.0,75.06,41.14,66.36,45.16,2849.0,0.329,1.0,1
40.36,133.73,31.21,30.74,26.43,2.56,2843.0,0.515,0.4357,0
318.23,644.69,74.5,35.85,60.36,47.01,1523.8,0.498,0.9996,1
78.98,253.07,54.09,35.16,17.8,8.84,1718.3,0.569,0.7881,1
7.28,28.04,40.99,22.8,37.19,0.41,2629.2,0.552,0.1956,0
38.73,103.9,44.8,22.61,93.53,3.24,3084.7,0.183,0.8005,1
10.48,34.68,34.07,48.67,51.41,0.86,2818.8,0.511,0.4478,0
16.96,59.7,41.57,33.5,73.12,1.72,2167.2,0.346,0.684,1
168.95,348.5,62.26,39.44,57.94,14.35,2592.2,0.433,0.9857,1
92.08,193.32,39.92,34.21,77.12,8.68,2352.8,0.33,0.8721,1
2.74,43.53,28.99,54.09,74.4,0.16,2104.6,0.337,0.6358,1
3.87,21.09,27.17,33.11,81.12,0.23,3235.0,0.438,0.6234,1
10.72,68.73,46.34,37.44,23.4,0.69,2338.1,0.456,0.4672,0
32.09,145.15,39.7,50.41,50.87,2.75,1460.6,0.506,0.7706,1
104.84,222.7,39.37,49.08,80.2,5.33,3415.4,0.169,0.9733,1
99.22,283.55,42.33,30.8,34.74,8.5,3334.0,0.523,0.8815,1
40.79,84.63,49.04,47.56,58.99,4.14,2775.8,0.285,0.7571,1
22.53,68.94,36.0,38.08,37.31,1.67,308.1,0.538,0.5107,1
147.23,414.2,53.89,38.63,77.12,10.13,2604.3,0.478,0.9888,1
260.71,750.0,88.28,28.84,48.89,39.11,298.7,0.523,0.9995,1
81.41,237.71,58.67,26.42,3.63,10.35,442.9,0.609,0.6768,1
119.69,243.89,48.74,45.05,80.69,13.04,1363.3,0.241,0.9743,1
70.27,187.21,53.13,38.94,89.81,6.5,1243.4,0.464,0.8791,1
12.22,54.98,30.97,37.61,43.36,0.53,2060.5,0.402,0.3998,0
23.95,106.17,41.3,45.1,73.25,1.83,1004.8,0.252,0.7839,1
152.55,408.09,65.01,46.26,25.3,20.28,857.3,0.442,0.9756,1
63.86,184.43,50.42,29.83,44.34,7.72,2399.7,0.465,0.7715,1
95.74,203.73,39.37,41.71,67.09,7.86,1663.1,0.312,0.8841,1
42.79,105.93,52.15,28.91,45.76,5.06,374.8,0.437,0.5579,1
15.43,49.43,39.02,45.8,69.47,0.93,1659.9,0.324,0.5315,1
24.74,73.79,41.98,42.97,46.81,2.37,2703.7,0.44,0.6248,1
128.76,325.32,55.13,55.23,82.35,14.16,420.0,0.261,0.9865,1
265.61,639.44,81.98,25.79,74.11,41.67,3222.2,0.275,0.9998,1
24.5,71.5,24.3,25.09,86.13,0.92,1772.3,0.323,0.5722,1
46.08,162.46,52.28,33.76,77.7,3.53,1889.7,0.345,0.8361,1
12.01,171.31,53.84,33.18,57.31,1.23,1188.2,0.439,0.6772,1
44.67,163.41,38.71,32.74,70.05,4.08,2335.1,0.416,0.7113,1
34.11,63.45,25.51,52.05,38.1,1.31,270.8,0.316,0.5936,1
40.74,110.73,45.52,32.82,71.41,2.9,2637.2,0.388,0.7428,1
123.1,229.88,36.21,33.47,66.31,10.84,527.2,0.558,0.9174,1
26.07,97.59,34.83,46.06,50.07,1.12,1667.3,0.356,0.6147,1
220.57,545.56,62.69,37.89,14.37,25.32,685.5,0.437,0.9947,1
127.54,407.0,63.21,46.64,85.9,15.22,759.3,0.374,0.988,1
3.34,11.28,42.53,25.58,85.69,0.3,1732.7,0.382,0.5598,1
109.74,243.63,42.16,38.74,91.29,6.72,415.6,0.256,0.961,1
165.31,467.43,81.78,23.44,46.0,26.27,694.6,0.648,0.9918,1
59.72,238.98,52.68,25.43,64.61,4.22,1994.0,0.203,0.8866,1
61.01,168.26,58.87,52.06,80.5,5.56,2497.0,0.23,0.9314,1
47.04,123.94,37.63,29.07,83.61,2.16,1386.1,0.238,0.7994,1
52.63,142.13,40.93,39.78,85.81,3.85,3057.3,0.44,0.8609,1
106.38,259.17,44.05,37.02,27.72,6.69,731.0,0.472,0.8875,1
3.91,18.26,36.0,35.48,57.69,0.19,2049.9,0.313,0.4432,0
43.51,108.0,53.99,51.72,47.36,3.87,494.7,0.248,0.8189,1
82.6,214.81,58.54,22.38,73.96,6.3,752.6,0.532,0.8688,1
7.45,32.4,46.62,43.16,34.96,0.72,3199.0,0.628,0.4884,0
52.02,153.02,38.13,55.78,41.31,2.9,3476.2,0.367,0.7866,1
84.98,217.44,42.62,40.45,83.0,7.69,3491.6,0.324,0.9526,1
114.44,368.67,56.79,53.83,46.93,14.89,2841.4,0.326,0.9819,1
26.49,83.46,46.75,24.78,58.63,2.68,858.7,0.555,0.5524,1
17.03,67.6,34.1,37.2,28.15,1.27,1144.1,0.463,0.4634,0
28.89,97.77,56.2,33.13,52.55,3.31,493.8,0.383,0.6834,1
36.47,111.7,41.31,45.14,66.51,2.54,378.4,0.312,0.7065,1
9.19,30.08,24.76,57.56,67.8,0.38,2617.6,0.339,0.5845,1
66.98,207.17,54.06,33.02,39.37,7.02,1983.3,0.561,0.7828,1
38.32,142.31,47.09,42.89,65.44,2.75,2380.0,0.26,0.8239,1
59.78,205.81,47.91,31.2,65.35,4.72,2114.3,0.414,0.8652,1
150.06,401.64,69.45,40.58,52.4,14.61,239.0,0.215,0.9873,1
99.73,296.71,66.31,38.21,44.89,14.64,1255.2,0.363,0.9241,1
62.54,159.64,62.38,56.56,32.72,8.41,2481.0,0.378,0.8414,1
27.07,77.33,51.32,41.67,74.5,2.58,3041.9,0.265,0.7926,1
81.29,158.78,42.09,35.54,67.29,5.75,709.5,0.399,0.8538,1
16.85,59.34,37.03,28.02,82.9,1.31,589.3,0.492,0.5123,1
